,Cap.,City,Conference,Division,Enrollment,FirstPlayed,FormerConferences,JoinedFBS,Nickname,Note,ProgramEstablished,School,Stadium,State,School Long Name
242,,Valparaiso,Pioneer,FCS,,,,,Crusaders,,1906.0,Valparaiso,,Indiana,Valparaiso University
243,,Villanova,CAA,FCS,,,,,Wildcats,,1894.0,Villanova,,Pennsylvania,Villanova University
244,,Lexington,Southern,FCS,,,,,Keydets,,1873.0,Virginia Military Institute,,Virginia,Virginia Military Institute
245,,New York,Northeast,FCS,,,,,Seahawks,,1927.0,Wagner,,New York,Wagner College
246,,Ogden,Big Sky,FCS,,,,,Wildcats,,1962.0,Weber State,,Utah,Weber State University
247,,Cullowhee,Southern,FCS,,,,,Catamounts,,1931.0,West. Carolina,,North Carolina,Western Carolina University
248,,Macomb,Missouri Valley,FCS,,,,,Leathernecks,,1903.0,West. Illinois,,Illinois,Western Illinois University
249,,Williamsburg,CAA,FCS,,,,,Tribe,,1893.0,William & Mary,,Virginia,College of William & Mary
250,,Spartanburg,Southern,FCS,,,,,Terriers,,1889.0,Wofford College,,South Carolina,Wofford College
251,,New Haven,Ivy,FCS,,,,,Bulldogs,,1872.0,Yale,,Connecticut,Yale University
252,,Youngstown,Missouri Valley,FCS,,,,,Penguins,,1938.0,Youngstown State,,Ohio,Youngstown State University
253,"6,000",Alamosa,RMAC,DII,,,,,Grizzlies,,,Adams State,Rex Stadium,Colorado,Adams State University
254,"11,000",Albany,SIAC,DII,,,,,Golden Rams,,,Albany State (GA),Albany State University Coliseum,Georgia,Albany State University
255,"2,000",Philippi,G-MAC,DII,,,,,Battlers,,,Alderson Broaddus,Multi-Sport Performance Stadium,West Virginia,Alderson Broaddus University
256,"4,000",Springfield,NE-10,DII,,,,,Yellow Jackets,,,American International College,Ronald J. Abdow Field,Massachusetts,American International College
257,"5,670",San Angelo,LSC,DII,,,,,Rams,,,Angelo State (TX),LeGrand Stadium at 1st Community Credit Union Field,Texas,Angelo State University
258,"6,500",Russellville,GAC,DII,,,,,Wonder Boys,,,Arkansas Tech,Thone Stadium at Buerkle Field,Arkansas,Arkansas Tech University
259,"5,000",Monticello,GAC,DII,,,,,Boll Weevils,,,Arkansas A&M,Willis Convoy Leslie Cotton Boll Stadium,Arkansas,University of Arkansas at Monticello
260,"6,000",Ashland,GLIAC,DII,,,,,Eagles,,,Ashland,Jack Miller Stadium,Ohio,Ashland University
261,"1,200",Worcester,NE-10,DII,,,,,Greyhounds,,,Assumption College,Greyhound Stadium,Massachusetts,Assumption College
262,"6,500",Sioux Falls,NSIC,DII,,,,,Vikings,,,Augustana,Kirkeby–Over Stadium,South Dakota,Augustana University
263,"10,000",Azusa,GNAC,DII,,,,,Cougars,[D2 1],,Azusa Pacific,Citrus Stadium,California,Azusa Pacific University
264,"4,000",Bemidji,NSIC,DII,,,,,Beavers,,,Bemidji State,Chet Anderson Stadium,Minnesota,Bemidji State University
265,"11,000",Columbia,SIAC,DII,,,,,Tigers,,,Benedict College,Charlie W. Johnson Stadium,South Carolina,Benedict College
266,"3,100",Waltham,NE-10,DII,,,,,Falcons,,,Bentley College,Bentley Athletic Field,Massachusetts,Bentley University
267,"4,200",Spearfish,RMAC,DII,,,,,Yellow Jackets,,,Black Hills State,Lyle Hare Stadium,South Dakota,Black Hills State University
268,"4,775",Bloomsburg,PSAC,DII,,,,,Huskies,,,Bloomsburg,Robert B. Redman Stadium,Pennsylvania,Bloomsburg University of Pennsylvania
269,"2,964",Bowie,CIAA,DII,,,,,Bulldogs,,,Bowie State,Bulldog Stadium,Maryland,Bowie State University
270,"6,500",California,PSAC,DII,,,,,Vulcans,,,California (PA),Hepner–Bailey Field at Adamson Stadium,Pennsylvania,California University of Pennsylvania
271,"5,500",Jefferson City,SAC,DII,,,,,Eagles,,,Carson-Newman,Burke–Tarr Stadium,Tennessee,Carson–Newman University
272,"4,500",Salisbury,SAC,DII,,,,,Indians,,,Catawba College,Shuford Stadium,North Carolina,Catawba College
273,"10,000",Warrensburg,MIAA,DII,,,,,Mules,,,Central Missouri State,Audrey J. Walton Stadium,Missouri,University of Central Missouri
